,Mkt-RF,SMB,HML,RF
19260701,    0.09,   -0.25,   -0.27,    0.01
19260702,    0.45,   -0.33,   -0.06,    0.01
19260706,    0.17,    0.30,   -0.39,    0.01
19260707,    0.09,   -0.58,    0.02,    0.01
19260708,    0.22,   -0.38,    0.19,    0.01
19260709,   -0.71,    0.43,    0.57,    0.01
19260710,    0.61,   -0.53,   -0.10,    0.01
19260712,    0.04,   -0.03,    0.64,    0.01
19260713,    0.48,   -0.28,   -0.20,    0.01
19260714,    0.04,    0.07,   -0.43,    0.01
19260715,   -0.43,    0.49,   -0.22,    0.01
19260716,    0.52,   -0.07,   -0.44,    0.01
19260717,    0.34,    0.43,   -0.62,    0.01
19260719,    0.00,   -0.04,   -0.42,    0.01
19260720,   -0.56,   -0.25,    0.19,    0.01
19260721,   -0.59,    0.18,    0.36,    0.01
19260722,   -0.73,   -0.27,   -0.23,    0.01
19260723,   -0.02,    0.09,    0.04,    0.01
19260724,   -0.15,    0.44,   -0.05,    0.01
19260726,    0.51,   -0.39,   -0.22,    0.01
19260727,    0.44,   -0.41,    0.20,    0.01
19260728,    1.09,    0.02,   -0.25,    0.01
19260729,    0.36,   -0.60,   -1.04,    0.01
19260730,    0.17,   -0.46,    0.53,    0.01
19260731,    0.46,   -0.12,   -0.17,    0.01
19260802,    0.84,   -0.26,    0.03,    0.01
19260803,    0.49,   -0.25,   -0.63,    0.01
19260804,   -0.36,    0.11,    0.33,    0.01
19260805,   -0.09,    0.01,    0.72,    0.01
19260806,    0.68,    0.07,    0.17,    0.01
19260807,    0.47,    0.15,   -0.35,    0.01
19260809,    0.20,   -0.07,   -0.22,    0.01
19260810,   -1.40,    0.34,    0.21,    0.01
19260811,   -0.57,    0.21,    0.34,    0.01
19260812,    0.84,   -0.76,    0.40,    0.01
19260813,    0.58,   -0.85,    0.26,    0.01
19260814,    0.68,    0.20,   -0.44,    0.01
19260816,    0.07,    0.25,    0.67,    0.01
19260817,   -0.95,    0.33,    0.17,    0.01
19260818,    0.26,    0.11,    0.00,    0.01
19260819,   -0.60,    0.14,    0.07,    0.01
19260820,   -0.20,   -0.35,    0.41,    0.01
19260821,    0.31,   -0.08,    0.54,    0.01
19260823,    0.47,   -0.39,    0.48,    0.01
19260824,   -0.84,    0.48,   -0.07,    0.01
19260825,   -0.31,   -0.40,    0.23,    0.01
19260826,    0.51,    0.10,    0.48,    0.01
19260827,    0.34,    0.15,   -0.42,    0.01
19260828,    0.32,    0.13,   -0.04,    0.01
19260830,    0.31,    0.01,    0.40,    0.01
19260831,    0.58,   -0.52,   -0.04,    0.01
19260901,    0.55,    0.54,   -0.11,    0.01
19260902,   -0.05,   -0.15,    0.34,    0.01
