dealno,firmtype,ticker,announcement
2647141020,acq,MSFT,2021-04-12
2647141020,tgt,NUAN,2021-04-12
3653562020,acq,CSGP,2021-02-16
3653562020,tgt,CLGX,2021-02-16
3682911020,acq,TDY,2021-01-04
3682911020,tgt,FLIR,2021-01-04
3683027020,acq,SIVB,2021-01-04
3683027020,tgt,BPFH,2021-01-04
3683511020,acq,UNH,2021-01-06
3683511020,tgt,CHNG,2021-01-06
3688242020,acq,LITE,2021-01-19
3688242020,tgt,COHR,2021-01-19
3695632020,acq,MKSI,2021-02-08
3695632020,tgt,COHR,2021-02-08
3695772020,acq,EA,2021-02-08
3695772020,tgt,GLUU,2021-02-08
3696589020,acq,TYL,2021-02-10
3696589020,tgt,EGOV,2021-02-10
3696946020,acq,MSFT,2021-02-11
3696946020,tgt,PINS,2021-02-11
3697628020,acq,IIVI,2021-02-12
3697628020,tgt,COHR,2021-02-12
3700450020,acq,MTB,2021-02-22
3700450020,tgt,PBCT,2021-02-22
3700733020,acq,GT,2021-02-22
3700733020,tgt,CTB,2021-02-22
3702371020,acq,MRK,2021-02-25
3702371020,tgt,PAND,2021-02-25
3702761020,acq,RILY,2021-01-11
3702761020,tgt,NHLD,2021-01-11
3704885020,acq,APO,2021-03-03
3704885020,tgt,MIK,2021-03-03
3705196020,acq,SHBI,2021-03-03
3705196020,tgt,SVBI,2021-03-03
3705454020,acq,AMGN,2021-03-04
3705454020,tgt,FPRX,2021-03-04
3708858020,acq,WSFS,2021-03-10
3708858020,tgt,BMTC,2021-03-10
3711033020,acq,BALY,2021-03-05
3711033020,tgt,AESE,2021-03-05
3715595020,acq,BANC,2021-03-22
3715595020,tgt,PMBC,2021-03-22
3718302020,acq,MSGE,2021-03-26
3718302020,tgt,MSGN,2021-03-26
3719459020,acq,PEBO,2021-03-29
3719459020,tgt,PFBI,2021-03-29
3722325020,acq,GHC,2021-04-05
3722325020,tgt,LEAF,2021-04-05
3728332020,acq,TMO,2021-04-15
3728332020,tgt,PPD,2021-04-15
3729031020,acq,URI,2021-04-15
3729031020,tgt,GFN,2021-04-15
3729815020,acq,WBS,2021-04-19
3729815020,tgt,STL,2021-04-19
3729821020,acq,MLHR,2021-04-19
3729821020,tgt,KNL,2021-04-19
3730688020,acq,BMRC,2021-04-19
3730688020,tgt,AMRB,2021-04-19
3731057020,acq,MIDD,2021-04-21
3731057020,tgt,WBT,2021-04-21
3731931020,acq,INDB,2021-04-22
3731931020,tgt,EBSB,2021-04-22
3732854020,acq,NYCB,2021-04-26
3732854020,tgt,FBC,2021-04-26
3736127020,acq,GTN,2021-05-03
3736127020,tgt,MDP,2021-05-03
3738319020,acq,BCEI,2021-05-10
3738319020,tgt,XOG,2021-05-10
3741696020,acq,PFGC,2021-05-18
3741696020,tgt,CORE,2021-05-18
3744148020,acq,COG,2021-05-24
3744148020,tgt,XEC,2021-05-24
3748440020,acq,ONB,2021-06-01
3748440020,tgt,FMBI,2021-06-01
3749742020,acq,UBSI,2021-06-03
3749742020,tgt,ESXB,2021-06-03
3750490020,acq,FBNC,2021-06-01
3750490020,tgt,SLCT,2021-06-01
3751027020,acq,VMC,2021-06-07
3751027020,tgt,USCR,2021-06-07
3756788020,acq,ELAN,2021-06-16
3756788020,tgt,KIN,2021-06-16
3761013020,acq,FMNB,2021-06-23
